section,item,text,ai_relevance_score,classification
"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",b),Ayrık küme kavramına yer verilir.,1,Medium AI Relevance
"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",c),En fazla üç kümenin birleşiminin eleman sayısını veren ilişkiler üzerinde durulur.,2,Medium AI Relevance
"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",d),Gerçek hayat problemlerine yer verilir.,1,Medium AI Relevance
9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,a),Sıralı ikili ve sıralı ikililerin eşitliği örneklerle açıklanır.,0,Low AI Relevance
9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,b),Kartezyen çarpımın eleman sayısı buldurulur.,0,Low AI Relevance
9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,c),Sadece sonlu sayıda elemanı olan kümelerin kartezyen çarpımlarının grafik çizimi yapılır.,2,Medium AI Relevance
9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,l),sayılar,0,Low AI Relevance
9.3.1.1. Sayı kümelerini birbiriyle ilişkilendirir.,a),"Doğal sayı, tam sayı, rasyonel sayı, irrasyonel sayı ve gerçek sayı kümelerinin sembolleri tanıtılarak bu",1,Medium AI Relevance
9.3.1.1. Sayı kümelerini birbiriyle ilişkilendirir.,b),gibi sayıların sayı doğrusundaki yeri belirlenir.,0,Low AI Relevance
9.3.1.1. Sayı kümelerini birbiriyle ilişkilendirir.,c),Gerçek sayılar kümesinde toplama ve çarpma işlemlerinin özellikleri üzerinde durulur.,2,Medium AI Relevance
9.3.2.2. Tam sayılarda EBOB ve EKOK ile ilgili uygulamalar yapar.,a),Gerçek hayat problemlerine yer verilir.,1,Medium AI Relevance
9.3.2.2. Tam sayılarda EBOB ve EKOK ile ilgili uygulamalar yapar.,b),Elektronik tablolarda bulunan EBOB ve EKOK fonksiyonlarından yararlanılır.,2,Medium AI Relevance
9.3.3.1. Gerçek sayılar kümesinde aralık kavramını açıklar.,a),"Açık, kapalı ve yarı açık aralık kavramları ile bunların gösterimleri üzerinde durulur.",0,Low AI Relevance
9.3.3.1. Gerçek sayılar kümesinde aralık kavramını açıklar.,b),Aralıkların kartezyen çarpımlarına yer verilmez.,0,Low AI Relevance
9.3.3.2. Birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm kümelerini bulur.,a),Birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözümü hatırlatılır.,1,Medium AI Relevance
9.3.3.2. Birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm kümelerini bulur.,b),Harezmî nin denklemler konusundaki çalışmalarına yer verilir.,0,Low AI Relevance
9.3.3.3. Mutlak değer içeren birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm,a),Bir gerçek sayının mutlak değeri hatırlatılarak mutlak değer özellikleri verilir. (,0,Low AI Relevance
9.3.3.3. Mutlak değer içeren birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm,b),İkiden çok mutlak değer içeren denklem ve eşitsizliklere girilmez.,0,Low AI Relevance
9.3.3.4. Birinci dereceden iki bilinmeyenli denklem ve eşitsizlik sistemlerinin çözüm kümelerini bulur.,a),"Birinci dereceden iki bilinmeyenli denklem sistemlerinin çözüm kümeleri bulunurken yerine koyma, yok",2,Medium AI Relevance
9.3.3.4. Birinci dereceden iki bilinmeyenli denklem ve eşitsizlik sistemlerinin çözüm kümelerini bulur.,b),"Birinci dereceden iki bilinmeyenli denklem ve eşitsizlik sistemlerinin çözümü, analitik düzlemde gösterilir.",1,Medium AI Relevance
9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,a),Üslü ifade kavramı hatırlatılır.,0,Low AI Relevance
9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,b),Bir gerçek sayının tam sayı kuvveti ile ilgili uygulamalar yapılır.,1,Medium AI Relevance
9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,c),Üslü ifadelerin özellikleri üzerinde durulur.,0,Low AI Relevance
9.3.4.2. Köklü ifadeleri içeren denklemleri çözer.,a),Köklü ifadelerin özellikleri üzerinde durulur.,0,Low AI Relevance
9.3.4.2. Köklü ifadeleri içeren denklemleri çözer.,b),ve,0,Low AI Relevance
9.3.4.2. Köklü ifadeleri içeren denklemleri çözer.,c),En çok iki terimli köklü ifadelerin eşleniklerine yer verilir.,0,Low AI Relevance
9.3.5.1. Oran ve orantı kavramlarını kullanarak problemler çözer.,a),"Oran, orantı, doğru orantı, ters orantı kavramları ile oran ve orantıya ait özellikler hatırlatılır.",0,Low AI Relevance
9.3.5.1. Oran ve orantı kavramlarını kullanarak problemler çözer.,b),Altın oran tanıtılarak gerçek hayattan örnekler verilir ancak hesaplama yöntemlerine yer verilmez.,0,Low AI Relevance
9.3.5.2. Denklemler  ve eşitsizlikler ile ilgili problemler çözer.,a),"Gerçek hayat durumlarını temsil eden sözel ifadelerdeki ilişkilerin cebirsel, grafiksel ve sayısal temsilleri",3,High AI Relevance
9.3.5.2. Denklemler  ve eşitsizlikler ile ilgili problemler çözer.,b),"Farklı problem çözme stratejilerinin uygulanmasını gerektiren oran, orantı kavramlarının kullanıldığı",1,Medium AI Relevance
9.3.5.2. Denklemler  ve eşitsizlikler ile ilgili problemler çözer.,c),Rutin olmayan problem türlerine de yer verilerek farklı problem çözme stratejilerinin uygulanmasına,2,Medium AI Relevance
9.4.1.1. Üçgende açı özellikleri ile ilgili işlemler yapar.,a),Kültür ve medeniyetimizden geometrinin tarihsel gelişim sürecine katkı sağlamış bilim insanları ve bilim,0,Low AI Relevance
9.4.1.1. Üçgende açı özellikleri ile ilgili işlemler yapar.,b),Açı çeşitleri ve paralel iki doğrunun bir kesenle yaptığı açılar hatırlatılır.,0,Low AI Relevance
9.4.1.1. Üçgende açı özellikleri ile ilgili işlemler yapar.,c),Üçgende sadece iç ve dış açı özelliklerinin kullanıldığı sorulara yer verilir. İkizkenar ve eşkenar üçgenin,0,Low AI Relevance
9.4.1.2. Üçgenin kenar uzunlukları ile bu kenarların karşılarındaki açıların ölçülerini ilişkilendirir.,a),Bir üçgende en uzun kenarın karşısındaki açının ölçüsünün en büyük olduğu ve bunun tersinin de doğru,0,Low AI Relevance
9.4.1.2. Üçgenin kenar uzunlukları ile bu kenarların karşılarındaki açıların ölçülerini ilişkilendirir.,b),Dinamik matematik yazılımları kullanılarak oluşturulan üçgenlerin kenar ve açıları arasındaki ilişkinin,2,Medium AI Relevance
9.4.1.3. Uzunlukları verilen üç doğru parçasının hangi durumlarda üçgen oluşturduğunu değerlendirir.,a),İki kenar uzunluğu verilen bir üçgenin üçüncü kenar uzunluğunun hangi aralıkta değerler alabileceğine,0,Low AI Relevance
9.4.1.3. Uzunlukları verilen üç doğru parçasının hangi durumlarda üçgen oluşturduğunu değerlendirir.,b),Dinamik matematik yazılımlarından yararlanılarak hangi durumlarda üçgen oluşacağının test edilmesi,1,Medium AI Relevance
9.4.2.1. İki üçgenin eş olması için gerekli olan asgari koşulları değerlendirir.,a),İki üçgenin eşliği hatırlatılır.,0,Low AI Relevance
9.4.2.1. İki üçgenin eş olması için gerekli olan asgari koşulları değerlendirir.,b),"Kenar-Açı-Kenar (K. A. K. ), Açı-Kenar-Açı (A. K. A. ), Kenar-Kenar-Kenar (K. K. K. ) eşlik kuralları, ölçümler",2,Medium AI Relevance
9.4.2.1. İki üçgenin eş olması için gerekli olan asgari koşulları değerlendirir.,c),Eş üçgenlerin karşılıklı yardımcı elemanlarının da eş olduğu gösterilir.,0,Low AI Relevance
9.4.2.2. İki üçgenin benzer olması için gerekli olan asgari koşulları değerlendirir.,a),"Kenar-Açı-Kenar (K. A. K. ), Kenar-Kenar-Kenar (K. K. K. ) ve Açı-Açı (A. A. ) benzerlik kuralları, ölçümler",2,Medium AI Relevance
9.4.2.2. İki üçgenin benzer olması için gerekli olan asgari koşulları değerlendirir.,b),Eşlik ile benzerlik arasındaki ilişki incelenir.,1,Medium AI Relevance
9.4.2.2. İki üçgenin benzer olması için gerekli olan asgari koşulları değerlendirir.,c),Benzer üçgenlerin karşılıklı yardımcı elemanlarının da aynı benzerlik oranına sahip olduğu gösterilir.,0,Low AI Relevance
9.4.3.1. Üçgenin iç ve dış açıortaylarının özelliklerini elde eder.,a),Açıortay üzerinde alınan bir noktadan açının kollarına indirilen dikmelerin uzunluklarının eşit olduğu,0,Low AI Relevance
9.4.3.1. Üçgenin iç ve dış açıortaylarının özelliklerini elde eder.,b),İç ve dış açıortay uzunlukları formülle hesaplatılmaz.,0,Low AI Relevance
9.4.3.1. Üçgenin iç ve dış açıortaylarının özelliklerini elde eder.,c),Açıortay özelliklerinin gösteriminde pergel-cetvelden yararlanılır.,0,Low AI Relevance
9.4.3.2. Üçgenin kenarortaylarının özelliklerini elde eder.,a),Kenarortayların kesiştiği nokta ile bu noktanın kenarortay üzerinde ayırdığı parçalar arasındaki ilişki,1,Medium AI Relevance
9.4.3.2. Üçgenin kenarortaylarının özelliklerini elde eder.,b),"Kenarortayların kesiştiği noktanın, üçgenin ağırlık merkezi olduğuna ve üçgenin ağırlık merkeziyle ilgili",0,Low AI Relevance
9.4.3.2. Üçgenin kenarortaylarının özelliklerini elde eder.,c),"Dik üçgende, hipotenüse ait kenarortay uzunluğunun hipotenüs uzunluğunun yarısı olduğu gösterilir.",0,Low AI Relevance
9.4.3.2. Üçgenin kenarortaylarının özelliklerini elde eder.,d),Pergel-cetvel kullanarak veya bilgi ve iletişim teknolojileri yardımıyla üçgen üzerinde değişiklikler,2,Medium AI Relevance
9.4.3.3. Üçgenin kenar orta dikmelerinin bir noktada kesiştiğini gösterir.,a),"Bir doğru parçasının orta dikmesi üzerinde alınan her noktanın, doğru parçasının uç noktalarına eşit",0,Low AI Relevance
9.4.3.3. Üçgenin kenar orta dikmelerinin bir noktada kesiştiğini gösterir.,b),Pergel-cetvel veya bilgi ve iletişim teknolojilerinden yararlanılır.,2,Medium AI Relevance
9.4.3.4. Üçgenin çeşidine göre yüksekliklerinin kesiştiği noktanın konumunu belirler.,a),Pergel-cetvel kullanarak veya bilgi ve iletişim teknolojileri yardımıyla bir üçgenin yükseklikleri çizilerek,2,Medium AI Relevance
9.4.3.4. Üçgenin çeşidine göre yüksekliklerinin kesiştiği noktanın konumunu belirler.,b),İkizkenar üçgenin tabanında alınan bir noktadan kenarlara çizilen dikmelerin uzunlukları toplamı ile,0,Low AI Relevance
9.4.3.4. Üçgenin çeşidine göre yüksekliklerinin kesiştiği noktanın konumunu belirler.,c),Eşkenar üçgen içerisinde alınan bir noktadan kenarlara indirilen dikmelerin uzunlukları toplamı ile,0,Low AI Relevance
9.4.4.1. Dik üçgende Pisagor teoremini elde ederek problemler çözer.,a),Teorem elde edilirken model çeşitliliğine yer verilir.,1,Medium AI Relevance
9.4.4.1. Dik üçgende Pisagor teoremini elde ederek problemler çözer.,b),Gerçek hayat problemlerine yer verilir.,1,Medium AI Relevance
9.4.4.1. Dik üçgende Pisagor teoremini elde ederek problemler çözer.,c),Pythagoras ın çalışmalarına yer verilir.,0,Low AI Relevance
9.4.4.2. Öklid teoremini elde ederek problemler çözer.,a),Gerçek hayat problemlerine yer verilir.,1,Medium AI Relevance
9.4.4.2. Öklid teoremini elde ederek problemler çözer.,b),Euclid in çalışmalarına yer verilir.,0,Low AI Relevance
9.4.4.3. Dik üçgende dar açıların trigonometrik oranlarını hesaplar.,a),"Bir açının sinüs, kosinüs, tanjant ve kotanjant değerleri dik üçgen üzerinde tanımlanır.",0,Low AI Relevance
9.4.4.3. Dik üçgende dar açıların trigonometrik oranlarını hesaplar.,b),"Dik üçgende; 30, 45  ve 60  nin trigonometrik değerleri özel üçgenler yardımıyla hesaplanır.",0,Low AI Relevance
9.4.4.3. Dik üçgende dar açıların trigonometrik oranlarını hesaplar.,c),Gerçek hayat problemlerine yer verilir.,1,Medium AI Relevance
9.4.4.4. Birim çemberi tanımlar ve trigonometrik oranları birim çemberin üzerindeki noktanın,a),Sadece 0  ve 180  arasındaki açıların trigonometrik oranları birim çember yardımıyla hesaplatılır.,0,Low AI Relevance
9.4.4.4. Birim çemberi tanımlar ve trigonometrik oranları birim çemberin üzerindeki noktanın,b),Ebu l Vefa ve Gıyaseddin Cemşid in trigonometrik oranlarla ilgili çalışmalarından bahsedilir.,0,Low AI Relevance
9.4.5.1. Üçgenin alanı ile ilgili problemler çözer.,a),"Üçgenin alanı, bir kenarı ile bu kenara ait yükseklik kullanılarak hesaplatılır.",0,Low AI Relevance
9.4.5.1. Üçgenin alanı ile ilgili problemler çözer.,b),İki kenarının uzunluğu ve bu kenarlar arasındaki açının ölçüsü verilen üçgenin alanını hesaplar.,0,Low AI Relevance
9.4.5.1. Üçgenin alanı ile ilgili problemler çözer.,c),Aynı yüksekliğe sahip üçgenlerin alanlarıyla tabanları; aynı tabana sahip üçgenlerin alanlarıyla,0,Low AI Relevance
9.4.5.1. Üçgenin alanı ile ilgili problemler çözer.,d),"Bilgi ve iletişim teknolojileri yardımıyla alan, taban ve yüksekliği değiştirilen bir üçgenin alanının",2,Medium AI Relevance
9.5.1.1. Verileri merkezî eğilim ve yayılım ölçülerini hesaplayarak yorumlar.,a),"Veri kavramı, kesikli ve sürekli veri çeşitleri verilir.",2,Medium AI Relevance
9.5.1.1. Verileri merkezî eğilim ve yayılım ölçülerini hesaplayarak yorumlar.,b),"Aritmetik ortalama, ortanca, tepe değer, en büyük değer, en küçük değer ve açıklık kavramları verilir.",0,Low AI Relevance
9.5.1.1. Verileri merkezî eğilim ve yayılım ölçülerini hesaplayarak yorumlar.,c),"Alt çeyrek, üst çeyrek ve çeyrekler açıklığına yer verilmez.",0,Low AI Relevance
9.5.1.1. Verileri merkezî eğilim ve yayılım ölçülerini hesaplayarak yorumlar.,d),"Gerçek hayat durumlarında aritmetik ortalama, ortanca, tepe değer kavramları birlikte yorumlanır.",0,Low AI Relevance
9.5.2.1. Bir veri grubuna ilişkin histogram oluşturur.,a),Histogram oluşturulurken veri grubunun açıklığı seçilen grup sayısına bölünür ve aşağıdaki eşitsizliği,1,Medium AI Relevance
9.5.2.1. Bir veri grubuna ilişkin histogram oluşturur.,b),Veri gruplarının histogramı çizilir.,0,Low AI Relevance
9.5.2.2. Gerçek hayat durumunu yansıtan veri gruplarını uygun grafik türleriyle temsil ederek yorumlar.,a),İkiden fazla veri grubunun karşılaştırıldığı durumlara da yer verilir.,1,Medium AI Relevance
9.5.2.2. Gerçek hayat durumunu yansıtan veri gruplarını uygun grafik türleriyle temsil ederek yorumlar.,b),Serpme ve kutu grafiklerine yer verilmez.,1,Medium AI Relevance
9.5.2.2. Gerçek hayat durumunu yansıtan veri gruplarını uygun grafik türleriyle temsil ederek yorumlar.,c),Grafik türleri bilgi ve iletişim teknolojileri kullanılarak çizilir.,2,Medium AI Relevance
10.1.1.1. Olayların gerçekleşme sayısını toplama ve çarpma yöntemlerini kullanarak hesaplar.,a),Sayma konusunun tarihsel gelişim sürecinden söz edilir ve bu süreçte rol alan Sâbit İbn Kurrâ nın,0,Low AI Relevance
10.1.1.1. Olayların gerçekleşme sayısını toplama ve çarpma yöntemlerini kullanarak hesaplar.,b),Faktöriyel kavramı verilerek saymanın temel ilkesi ile ilişkilendirilir.,1,Medium AI Relevance
10.1.1.3.  Sınırlı  sayıda  tekrarlayan  nesnelerin  dizilişlerini  (permütasyonlarını)  açıklayarak  problemler,a),En az iki tanesi özdeş olan nesnelerin tüm farklı dizilişlerinin sayısı örnekler/problemler bağlamında ele,1,Medium AI Relevance
10.1.1.3.  Sınırlı  sayıda  tekrarlayan  nesnelerin  dizilişlerini  (permütasyonlarını)  açıklayarak  problemler,b),Gerçek hayat problemlerine yer verilir.,1,Medium AI Relevance
10.1.1.4. n elemanlı bir kümenin r tane elemanının kaç farklı şekilde seçilebileceğini hesaplar.,a),Kombinasyon kavramı alt küme sayısı ile ilişkilendirilir.,2,Medium AI Relevance
10.1.1.4. n elemanlı bir kümenin r tane elemanının kaç farklı şekilde seçilebileceğini hesaplar.,b),Kombinasyon kavramının aşağıdaki temel özellikleri incelenir:,0,Low AI Relevance
10.1.1.5. Pascal üçgenini açıklar.,0),"+ 𝐶𝐶(𝑛𝑛, 1) +   + 𝐶𝐶(𝑛𝑛, 𝑛𝑛) = 2",0,Low AI Relevance
10.1.1.6. Binom açılımını yapar.,a),Binom açılımı Pascal üçgeni ile ilişkilendirilir.,1,Medium AI Relevance
10.1.1.6. Binom açılımını yapar.,b),Sadece iki terimli ifadelerin açılımı ele alınır.,0,Low AI Relevance
10.1.1.6. Binom açılımını yapar.,c),Binom formülü ile ilgili örnekler yapılır ancak,0,Low AI Relevance
"10.1.2.1. Örnek uzay, deney, çıktı, bir olayın tümleyeni, kesin olay, imkânsız olay, ayrık olay ve ayrık",a),"Örnek uzay, deney, çıktı kavramları eş olası durumlardan yola çıkılarak eş olası olmayan durumlar için",0,Low AI Relevance
"10.1.2.1. Örnek uzay, deney, çıktı, bir olayın tümleyeni, kesin olay, imkânsız olay, ayrık olay ve ayrık",b),Ayrık olay ve ayrık olmayan olay üzerinde durulur.,0,Low AI Relevance
"10.1.2.1. Örnek uzay, deney, çıktı, bir olayın tümleyeni, kesin olay, imkânsız olay, ayrık olay ve ayrık",c),El Kindî ve Laplace'ın çalışmalarına yer verilir.,0,Low AI Relevance
10.1.2.2. Olasılık kavramı ile ilgili uygulamalar yapar.,a),Eş olası olan ve olmayan olayların olasılıkları hesaplanır.,1,Medium AI Relevance
10.1.2.2. Olasılık kavramı ile ilgili uygulamalar yapar.,b),"Tümleyen, ayrık olay ve ayrık olmayan olay ile ilgili olasılıklar hesaplanır.",1,Medium AI Relevance
10.1.2.2. Olasılık kavramı ile ilgili uygulamalar yapar.,c),Gerçek hayat problemlerine yer verilir.,1,Medium AI Relevance
10.1.2.2. Olasılık kavramı ile ilgili uygulamalar yapar.,y),doğru testi,0,Low AI Relevance
10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,a),Fonksiyon kavramı açıklanır.,1,Medium AI Relevance
10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,b),Sadece gerçek sayılar üzerinde tanımlanmış fonksiyonlar ele alınır.,1,Medium AI Relevance
10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,c),"İçine fonksiyon, örten fonksiyon, bire bir fonksiyon, eşit fonksiyon, birim (özdeşlik) fonksiyon, sabit",5,High AI Relevance
10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,d),f ve g fonksiyonları kullanılarak,1,Medium AI Relevance
10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,e),Gerçek hayat problemlerine ve tablo-grafik kullanımına yer verilir.,3,High AI Relevance
10.2.1.2. Fonksiyonların grafiklerini çizer.,a),f(x) = ax + b şeklindeki fonksiyonların grafikleri ile ilgili uygulamalar yapılır.,3,High AI Relevance
10.2.1.2. Fonksiyonların grafiklerini çizer.,b),Parçalı tanımlı şekilde verilen fonksiyonların grafikleri çizilir.,2,Medium AI Relevance
10.2.1.2. Fonksiyonların grafiklerini çizer.,c),f(x) = ax + b tipindeki fonksiyonların grafiği bilgi ve iletişim teknolojileri yardımıyla çizilerek a ve b,4,High AI Relevance
10.2.1.3. Fonksiyonların grafiklerini yorumlar.,a),Grafiği verilen fonksiyonların tanım ve görüntü kümeleri gösterilir.,2,Medium AI Relevance
10.2.1.3. Fonksiyonların grafiklerini yorumlar.,b),"Bir fonksiyon grafiğinde, fonksiyonun x ekseni üzerinde tanımlı olduğu her bir noktadan y eksenine",2,Medium AI Relevance
10.2.1.3. Fonksiyonların grafiklerini yorumlar.,i),işaret edilir.,0,Low AI Relevance
10.2.1.3. Fonksiyonların grafiklerini yorumlar.,c),"Bir f fonksiyonunun grafiğinin y = f(x) denkleminin grafiği olduğu ve grafiğin (varsa), x eksenini kestiği",3,High AI Relevance
10.2.1.3. Fonksiyonların grafiklerini yorumlar.,x),= 0 denkleminin gerçek sayılardaki çözüm kümesi olduğu vurgulanır.,2,Medium AI Relevance
10.2.2.1. Bire bir ve örten fonksiyonlar ile ilgili uygulamalar yapar.,a),Bir fonksiyonun bire bir ve örtenliği grafik üzerinde yatay doğru testiyle incelenir ve cebirsel olarak,2,Medium AI Relevance
10.2.2.1. Bire bir ve örten fonksiyonlar ile ilgili uygulamalar yapar.,b),Bilgi ve iletişim teknolojileri yardımıyla bir fonksiyonun bire bir ve örten olup olmadığı belirlenir.,3,High AI Relevance
10.2.2.2. Fonksiyonlarda bileşke işlemiyle ilgili işlemler yapar.,a),"Bileşke işlemi, fonksiyonların cebirsel ve grafik gösterimleri ile ilişkilendirilerek ele alınır.",4,High AI Relevance
10.2.2.2. Fonksiyonlarda bileşke işlemiyle ilgili işlemler yapar.,b),"Fonksiyonlarda bileşke işleminin birleşme özelliğinin olduğu belirtilir, değişme özelliğinin olmadığı",1,Medium AI Relevance
10.2.2.2. Fonksiyonlarda bileşke işlemiyle ilgili işlemler yapar.,c),Parçalı tanımlı fonksiyonların bileşkesine girilmez.,1,Medium AI Relevance
10.2.2.3. Verilen bir fonksiyonun tersini bulur.,a),Bir fonksiyonun tersinin de fonksiyon olması için gerekli şartlar belirtilir.,2,Medium AI Relevance
10.2.2.3. Verilen bir fonksiyonun tersini bulur.,b),Sadece bire bir ve örten doğrusal fonksiyonun tersinin grafiği çizilir; fonksiyonun grafiği ile tersinin,4,High AI Relevance
10.2.2.3. Verilen bir fonksiyonun tersini bulur.,c),Parçalı tanımlı fonksiyonların tersi verilmez.,1,Medium AI Relevance
10.3.1.1. Bir değişkenli polinom kavramını açıklar.,a),"Polinomun derecesi, katsayıları ve sabit terimi belirtilir.",0,Low AI Relevance
10.3.1.1. Bir değişkenli polinom kavramını açıklar.,b),"Sabit polinom, sıfır polinomu ve iki polinomun eşitliği örneklerle açıklanır.",0,Low AI Relevance
"10.3.1.2. Polinomlarla toplama, çıkarma, çarpma ve bölme işlemlerini yapar.",a),Bir P(x) polinomunun x   a ile bölümünden kalan P(a) dır.,0,Low AI Relevance
"10.3.1.2. Polinomlarla toplama, çıkarma, çarpma ve bölme işlemlerini yapar.",b),Polinomun sıfırı kavramı bölme işlemiyle ilişkilendirilir.,2,Medium AI Relevance
10.3.2.1. Bir polinomu çarpanlarına ayırır.,a),Ortak çarpan parantezine alma ve değişken değiştirme yöntemleri kullanılarak çarpanlara ayırma,0,Low AI Relevance
10.3.2.1. Bir polinomu çarpanlarına ayırır.,b),"Tam kare, iki kare farkı, iki terimin toplamının ve farkının küpü, iki terimin küplerinin toplamı ve farkına",0,Low AI Relevance
10.3.2.1. Bir polinomu çarpanlarına ayırır.,c),biçimindeki ifadeler çarpanlarına ayrılır.,0,Low AI Relevance
10.3.2.2. Rasyonel ifadelerin sadeleştirilmesi ile ilgili işlemler yapar.,a),Rasyonel ifade kavramı tanıtılır.,0,Low AI Relevance
10.3.2.2. Rasyonel ifadelerin sadeleştirilmesi ile ilgili işlemler yapar.,b),Çarpanları polinom olmayan ifadelerde çarpanlara ayırma uygulamalarına yer verilmez.,1,Medium AI Relevance
10.4.1.2. İkinci dereceden bir bilinmeyenli denklemleri çözer.,a),ax2 + bx + c biçimindeki cebirsel ifadelerin; tam kare ve iki kare farkına ait özdeşlikler kullanılarak,0,Low AI Relevance
10.4.1.2. İkinci dereceden bir bilinmeyenli denklemleri çözer.,b),"Denklemlerin çözümünde farklı yöntemlerden (çarpanlara ayırma, tam kareye tamamlama, değişken",1,Medium AI Relevance
10.4.1.2. İkinci dereceden bir bilinmeyenli denklemleri çözer.,t),yararlanılır.,0,Low AI Relevance
10.4.1.2. İkinci dereceden bir bilinmeyenli denklemleri çözer.,c),Gerçek hayat problemlerine yer verilir.,1,Medium AI Relevance
"10.4.1.3. Bir karmaşık sayının a+ib (a,b",b),=  1 olmak üzere bir karmaşık sayı,0,Low AI Relevance
"10.4.1.3. Bir karmaşık sayının a+ib (a,b",c),Köklerin birbirinin eşleniği olduğu belirtilir.,0,Low AI Relevance
10.4.1.4.  İkinci  dereceden  bir  bilinmeyenli  denklemin  kökleri  ile  katsayıları  arasındaki  ilişkileri,a),Sadece kökler toplamı ve çarpımı ile denklemin katsayıları arasındaki ilişkiler üzerinde durulur.,1,Medium AI Relevance
10.4.1.4.  İkinci  dereceden  bir  bilinmeyenli  denklemin  kökleri  ile  katsayıları  arasındaki  ilişkileri,b),Kökleri verilen ikinci dereceden denklemi elde etme ile ilgili uygulamalara yer verilir.,1,Medium AI Relevance
10.5.1.1. Çokgen kavramını açıklayarak işlemler yapar.,a),İçbükey çokgenlere girilmez.,0,Low AI Relevance
10.5.1.1. Çokgen kavramını açıklayarak işlemler yapar.,b),"Düzgün çokgenler hatırlatılır, iç ve dış açılarının ölçüleri bulunur.",0,Low AI Relevance
10.5.1.1. Çokgen kavramını açıklayarak işlemler yapar.,c),Çokgenlerin köşegenleri ile ilgili özelliklere ve alan problemlerine yer verilmez.,1,Medium AI Relevance
10.5.2.1. Dörtgenin temel elemanlarını ve özelliklerini açıklayarak problemler çözer.,a),Dışbükey ve içbükey dörtgen kavramları açıklanır. (Bundan sonra dörtgen denildiğinde dış bükey,0,Low AI Relevance
10.5.2.1. Dörtgenin temel elemanlarını ve özelliklerini açıklayarak problemler çözer.,b),Dörtgenin iç ve dış açılarının ölçüleri toplamı bulunur.,0,Low AI Relevance
10.5.2.1. Dörtgenin temel elemanlarını ve özelliklerini açıklayarak problemler çözer.,c),Dörtgenin çevresi üzerinde durulur.,0,Low AI Relevance
