text,dominant_topic,topic_percent,section,item
Öner gerçek yaşam problem bağlam değerlen,5,0.90687513,4. TEMA: GEOMETRİK ŞEKİLLER,d)
Üçgen sinüs ve kosinüs teorem ilişkin fark doğrula veya ispat kul,6,0.7401668,4. TEMA: GEOMETRİK ŞEKİLLER,a)
yapı doğrula veya ispat yeni durum uyarla değerlen,3,0.9180427,4. TEMA: GEOMETRİK ŞEKİLLER,b)
Öğrenme çıktı çalış kâğıd ve performans görev ile değer,7,0.7912771,4. TEMA: GEOMETRİK ŞEKİLLER,e)
Öğrenci trigonometrik oran trigonometrik özdeş sinüs ve kosinüs teorem,6,0.9321874,4. TEMA: GEOMETRİK ŞEKİLLER,e)
benze dik üçgen,4,0.7707259,4. TEMA: GEOMETRİK ŞEKİLLER,i)
düzenle bir tablo yer ver Öğrenci tab,2,0.76670545,4. TEMA: GEOMETRİK ŞEKİLLER,u)
ve fark yöntem kâğıt katla,6,0.8407277,4. TEMA: GEOMETRİK ŞEKİLLER,i)
açıorta ilgili hatırlat yap MAB5 OB2 daha sonra bu açı oluş,3,0.88932097,4. TEMA: GEOMETRİK ŞEKİLLER,i)
ile fark yöntem kâğıt,6,0.84072775,4. TEMA: GEOMETRİK ŞEKİLLER,i)
kullan sağla hatırlat yap MAB5 D3 4 Benze,3,0.5388419,4. TEMA: GEOMETRİK ŞEKİLLER,i)
ile fark yöntem kâğıt,6,0.8407277,4. TEMA: GEOMETRİK ŞEKİLLER,i)
kullan bir üçgen herhangi iki kenar ait yükseklik inşa et,4,0.53840405,4. TEMA: GEOMETRİK ŞEKİLLER,i)
üçgen Hak araştır yap iste herhangi bir açı pergel ve ölçü süz,4,0.8681079,4. TEMA: GEOMETRİK ŞEKİLLER,y)
başka taraf oluş istatistiksel sonuç veya yorum yönelik istatis,3,0.9058254,5. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,a)
başka taraf oluş istatistiksel sonuç veya yorum yönelik hata,3,0.9058255,5. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,b)
başka taraf oluş istatistiksel sonuç veya yorum çürüt ya da,3,0.8893241,5. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,c)
ÖĞRENME ÖĞRETME,7,0.77513367,5. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,e)
dair eleştirel soru sor bu bileşen ol,1,0.56617796,5. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,a)
seç öğrenci günlük hayat(I) karşıla,6,0.78188807,5. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
ilişkin,6,0.65413344,5. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
dağılım incele iste,2,0.82965165,5. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
KAVRAMSAL,2,0.6301018,1. TEMA: SAYILAR,a)
bir doğal sayı asal çarpan ve bölen Hak varsayım bulun,6,0.48383743,1. TEMA: SAYILAR,a)
fark örnek el et örüntü listele bir doğal sayı asal çarpan,6,0.5668146,1. TEMA: SAYILAR,b)
Oluş genelle varsayım karşıla karşıla örnek sı,6,0.89654183,1. TEMA: SAYILAR,c)
El et önerme gerçek yaşam durum içer problem kullanışlı li,5,0.6484699,1. TEMA: SAYILAR,d)
bir çok doğal sayı ortak bölen bu en büyük ve ortak kat,7,0.61222357,1. TEMA: SAYILAR,a)
fark örnek el et örüntü listele varsayım yönelik örün,6,0.91196775,1. TEMA: SAYILAR,b)
Oluş genelle varsayım karşıla karşıla örnek sı,6,0.89654183,1. TEMA: SAYILAR,c)
Sun önerme gerçek yaşam durum içer problem katkı de,5,0.91895777,1. TEMA: SAYILAR,d)
el et önerme ile ilgili matematiksel doğrula yöntem seçe ve kul,3,0.90582126,1. TEMA: SAYILAR,e)
El et önerme ilişkin iş koş matematiksel doğrula kullanışlı,3,0.7171061,1. TEMA: SAYILAR,f)
2 3 4 5 6 9 ve 10 ile bölünebilme özellik hareket bir doğal sayı 2 3 4,5,0.83152044,1. TEMA: SAYILAR,a)
aynı sayı ile böl işlem el et kalan ilişkin fark örnek ilgili,6,0.89653265,1. TEMA: SAYILAR,b)
Oluş genelleme kendi varsayım karşıla karşıla örnek,6,0.8965415,1. TEMA: SAYILAR,c)
Ulaş önerme katkı bu sayı en küçük ortak kat oluş sayı,3,0.57283854,1. TEMA: SAYILAR,d)
Önerme ilişkin matematiksel doğrula yöntem seçe ve kullanı,3,0.65345997,1. TEMA: SAYILAR,e)
Önerme ilişkin iş koş matematiksel doğrula yöntem kullanışlı açı,3,0.74971765,1. TEMA: SAYILAR,f)
Öğrenme çıktı çalış kâğıd açık uç soru ve performans görev ile değerlen,7,0.93728876,1. TEMA: SAYILAR,e)
değerlendir uygulama yer ver ayrıca bu önerme değer,0,0.41847196,1. TEMA: SAYILAR,i)
EBOB ve EKOK özellik göster poster hazırla iste,4,0.7706959,1. TEMA: SAYILAR,i)
içeren,6,0.16502762,1. TEMA: SAYILAR,i)
bölünebil dair değerlendir,6,0.7818915,1. TEMA: SAYILAR,i)
incele araştır ödev verilebilir böylece,2,0.8658421,1. TEMA: SAYILAR,i)
asallık Üzer deneme,2,0.6300976,1. TEMA: SAYILAR,r)
sanı gibi veya asal sayı özellik Hak ikiz asal Fermat Feğma,5,0.8673108,1. TEMA: SAYILAR,h)
asal gibi araştır yap iste bu araştır,5,0.86729074,1. TEMA: SAYILAR,n)
çalış incele,2,0.76673156,1. TEMA: SAYILAR,s)
siyon hareket doğrusal fonksiyon nitel özellik Hak muhakeme yapa,4,0.9074598,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
özellik ile bu fonksiyon türet g(x,0,0.77150685,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
k a r k,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,r)
Doğrusal referans fonksiyon nitel özellik tanım küme görüntü küme,4,0.92871666,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
matematiksel temsil kullan belirle,6,0.8745566,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
Doğrusal referans fonksiyon nitel özellik ile matematiksel temsil ara,0,0.9077744,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
Doğrusal referans fonksiyon grafik veya cebirsel temsil Üzer yap işlem,0,0.92895937,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
doğrusal referans fonksiyon nitel özellik hareket diğer doğrusal fonksi,4,0.91946656,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,d)
Varsayım dayalı ol doğrusal fonksiyon nitel özellik ilişkin örün,6,0.52922887,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
genel,1,0.63446105,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,l)
Genelle varsayım karşıla karşıla kontrol et,6,0.8965432,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,f)
Genelle el et öner uygun sözel veya sembolik dil ile sun,1,0.7136933,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,g)
Öner grafiksel ol doğru veya cebirsel ol ispat,1,0.89068156,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,h)
0 şekil tanım mutlak,4,0.83257055,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
gerçek sayı f(x,5,0.7692843,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
=,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
c,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
Gözlem yol çık gerçek sayı,5,0.56010693,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
tespit et nitel özellik hareket gerçek sayı,5,0.6685019,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
parça gösterim yönelik çıkarım bulun,3,0.88931274,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
Doğrusal fonksiyon ifade edil denklem ve eşitsizlik ilişkin bileşen,0,0.9289537,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
belirle,7,0.6433744,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
Doğrusal fonksiyon ifade edil denklem ve eşitsizlik ilişkin matematik,0,0.92895395,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
doğrusal fonksiyon ifade edil denklem ve eşitsizlik problem bağla,0,0.92895705,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
el et ve yorumla fark temsil dayalı ol problem çözüm için strateji,6,0.5523442,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,d)
Belirle strateji kullan problem çöze,7,0.8933223,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
el et çözüm uygun yöntem seç doğrula,7,0.44577733,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,f)
Problemin olası çözüm strateji göz geçir,7,0.8933366,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,g)
Çıkarımlarının geçerli sözel cebirsel ve grafiksel argüman değerlen,1,0.9190509,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,h)
= x f(x = ax b f(x =,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
=,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
ℝ,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
ara ilişki dayalı ol,6,0.7818793,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
a f(x r k,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
0 şekil tanım doğrusal fonksiyon grafik ve cebirsel temsil ulaş,0,0.6606519,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
0 şekil tanım,4,0.77072304,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
ax + b a b,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
doğrusal fonksiyon a > 0 veya a < 0 ol durum fonksiyon artan azalan,0,0.90777063,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
x1,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
ispat yap sonra,3,0.7666741,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,k)
şekil tanım fonksiyon grafik temsil incele,0,0.46762988,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
fonksiyon,0,0.637665,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
mutlak değer fonksiyon cebirsel ve grafiksel ilişki incele bura fonksiyon,4,0.5892855,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
temsil ara ilişki gözlemle yapı incele ve gözlem sonuç fonksiyon ait nitel,2,0.5567343,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
bir cebirsel temsil ol parça gösterim dair çıkarım iki fark doğrusal fonksiyon,0,0.42209932,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
yap bekle MAB3,2,0.76669544,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
f(x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
f(x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
> k,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
=,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
< 0 f(x > 0,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
g(x f(x g(x f(x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
MAT 9. 2. 3,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
g(x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
likler cebirsel veya grafik ol el et bu denklem ve eşitsizlik matematiksel bileşen,0,0.90777606,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
",",6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
< 0 eşitsiz çözüm aralığ,1,0.5733577,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
< 0 şekil bir eşitsiz,5,0.76923186,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
< g(x şekil eşitsiz özel bir hâl g(x,6,0.84071755,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
geliş D16 2,1,0.63454115,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
farklı uygulama yaptır,0,0.637661,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
= |ax b| c,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
= ax b a b,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
kullan,6,0.65412486,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
Algoritmik yaklaşım el alın bir problem işlem ve süreç yönelik bi,3,0.91803735,3. TEMA: ALGORİTMA VE BİLİŞİM,a)
problem durum temsil liste tablo çizge ak şema algoritmik doğal,5,0.7890044,3. TEMA: ALGORİTMA VE BİLİŞİM,b)
matematiksel yapı ara ilişki belirle,3,0.86579865,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
problem durum sözel görsel veya cebirsel ifade algoritmik dil dön,1,0.9190402,3. TEMA: ALGORİTMA VE BİLİŞİM,c)
Karşılaş problem durum algoritma temel bir çözüm strateji oluş,7,0.93008363,3. TEMA: ALGORİTMA VE BİLİŞİM,d)
Karşılaş problem durum seç algoritma temel çözüm strateji kul,7,0.92101294,3. TEMA: ALGORİTMA VE BİLİŞİM,e)
Karşılaşılan problem durum seç algoritma temel çözüm strateji kont,7,0.909236,3. TEMA: ALGORİTMA VE BİLİŞİM,f)
Algoritma temel çözül problem olası çözüm strateji göz geçir,7,0.93008626,3. TEMA: ALGORİTMA VE BİLİŞİM,g)
Algoritma temel çözül problem çözüme ulaş strateji yönelik çı,7,0.5884885,3. TEMA: ALGORİTMA VE BİLİŞİM,h)
Algoritmik yapı içeri kullan mantık bağlaç ve niceleyici belirle,3,0.9274444,3. TEMA: ALGORİTMA VE BİLİŞİM,a)
Algoritmik yapı ile mantık bağlaç ve niceleyi ara ilişki belirle,3,0.9180419,3. TEMA: ALGORİTMA VE BİLİŞİM,b)
Karşılaş algoritma mantık bağlaç ve niceleyi kullanım göz,7,0.4619092,3. TEMA: ALGORİTMA VE BİLİŞİM,a)
Matematiksel problem çöz doğrula ve ispat süreç mantık bağlaç ve,3,0.91804117,3. TEMA: ALGORİTMA VE BİLİŞİM,b)
mantık bağlaç ve niceleyicilerin matematiksel dil ve sembolizm yalın ve kesin,3,0.5946557,3. TEMA: ALGORİTMA VE BİLİŞİM,c)
Öğrenme çıktı çalış kâğıd performans görev ve araştır ödev ile değerlen,7,0.9372887,3. TEMA: ALGORİTMA VE BİLİŞİM,e)
çözümlen ve bu kodlama ilgili ak şema oluştur,3,0.6263719,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
ifade et kabul et,0,0.40214825,3. TEMA: ALGORİTMA VE BİLİŞİM,d)
arka yat matematik fark et,0,0.4101079,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
Kö,6,0.16502762,3. TEMA: ALGORİTMA VE BİLİŞİM,r)
köprü problem tarihî bağlam ile birlikte tanıt öğrenci,5,0.89055514,3. TEMA: ALGORİTMA VE BİLİŞİM,k)
ülke geliş önem vurgula,2,0.8658428,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
doğal sayı problem asal çarpan ayır ver iki sayı,5,0.63696927,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
el alın,3,0.6300019,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
dönüştür bir şifrele örneğ ol el al E1 1 E3 11 Çizge ku,1,0.8316983,3. TEMA: ALGORİTMA VE BİLİŞİM,y)
ve düğüm nokta açıklan sonra çizge,1,0.8317019,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
öğrenci,5,0.6341174,3. TEMA: ALGORİTMA VE BİLİŞİM,n)
problem durum na,5,0.76926035,3. TEMA: ALGORİTMA VE BİLİŞİM,d)
algoritma yaz doğal dil ya da ak şema veya ver bir algoritma,5,0.8673075,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
çözümlen yönelik araştır,3,0.82961464,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
tekrar çöz ve önce adım el et çözüm doğru kontrol et Mate,7,0.4257523,3. TEMA: ALGORİTMA VE BİLİŞİM,k)
geçen,6,0.16502762,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
ve niceleyicilerin her bazı anlam de,7,0.7750817,3. TEMA: ALGORİTMA VE BİLİŞİM,e)
oluştur belirle OB4 Öğrenci algoritmik yapı iç,3,0.6873023,3. TEMA: ALGORİTMA VE BİLİŞİM,d)
alın bu önerme doğru,3,0.5594894,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
algoritma örnek Öklid algoritma ile ilişkilendir öğrenci benze,5,0.9068673,3. TEMA: ALGORİTMA VE BİLİŞİM,f)
sağla avantaj yönelik araştır yap ve sonuç,3,0.6108716,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
hareket,5,0.6341375,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
tur ve gezgin satıcı,6,0.16502762,3. TEMA: ALGORİTMA VE BİLİŞİM,n)
kod oluştur bu çözümle gerek problem öğren,7,0.8706746,3. TEMA: ALGORİTMA VE BİLİŞİM,y)
kullan,6,0.65412384,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
Mevcut bilgi dâhil geometrik dönüşüm yansı ötele dön özel,6,0.8965426,5. TEMA: EŞLİK VE BENZERLİK,a)
İncele örnek Üzer dönüşüm özellik ve şekil dönüşüm,2,0.8893297,5. TEMA: EŞLİK VE BENZERLİK,b)
Dönüşümlerin özellik ve şekil dönüşüm alt görüntüs ilişkin var,6,0.8407252,5. TEMA: EŞLİK VE BENZERLİK,c)
Geometrik dönüşüm ilgili el et önerme konu ile ilgili başka çıkarım,3,0.51727563,5. TEMA: EŞLİK VE BENZERLİK,d)
iki üçgen eş veya benze ol koşul ilişkin varsayım bulun,6,0.50654256,5. TEMA: EŞLİK VE BENZERLİK,a)
İncele örnek Üzer iki üçgen eş veya benze ol koşul ilişkin var,4,0.90741354,5. TEMA: EŞLİK VE BENZERLİK,b)
iki üçgen eş veya benze ol koşul ilişkin varsayım ile el et genel,6,0.5065798,5. TEMA: EŞLİK VE BENZERLİK,c)
iki üçgen eş veya benze ol koşul dair el et önerme fark ve,4,0.5688477,5. TEMA: EŞLİK VE BENZERLİK,d)
bir üçgen benze üçgen oluştur eş ve benzer deneyim göz,4,0.8912413,5. TEMA: EŞLİK VE BENZERLİK,a)
Deneyim dayalı çıkarım yap,5,0.540218,5. TEMA: EŞLİK VE BENZERLİK,b)
bir üçgen hareket o benze üçgen oluştur ile ilgili ulaş çıkarım,4,0.51603115,5. TEMA: EŞLİK VE BENZERLİK,c)
Tales Öklid ve Pisagor teorem ilişkin fark ispat kullan,6,0.93218637,5. TEMA: EŞLİK VE BENZERLİK,a)
Kullan matematiksel ispat ve teorem yeni durum uyarla değerlen,3,0.7234148,5. TEMA: EŞLİK VE BENZERLİK,b)
Problemin ver ve istenen ilişkin parça belirle,7,0.63914555,5. TEMA: EŞLİK VE BENZERLİK,a)
Problemde veril isten ve gerek işlem ara ilişki belirle,1,0.8906646,5. TEMA: EŞLİK VE BENZERLİK,b)
Problemin parça ara ilişki problem bağlam uygun ol dönüş,7,0.9210111,5. TEMA: EŞLİK VE BENZERLİK,c)
Problemin çözüm gerçekleştir için strateji oluş,7,0.8933326,5. TEMA: EŞLİK VE BENZERLİK,d)
Belirle strateji çözüm için uygula problem çöze,7,0.9092373,5. TEMA: EŞLİK VE BENZERLİK,e)
Problemin çözüm kontrol et,7,0.8357786,5. TEMA: EŞLİK VE BENZERLİK,f)
Problemin çözüm için geliş kullan strateji kısa yol ve çözüm,7,0.7530485,5. TEMA: EŞLİK VE BENZERLİK,g)
Ulaş çıkarım geçerli matematiksel örnek değerlen,3,0.67015266,5. TEMA: EŞLİK VE BENZERLİK,h)
bu üçgen eş üçgen üretilebilir,4,0.77072304,5. TEMA: EŞLİK VE BENZERLİK,e)
Öğrenme çıktı çalışma kâğıd açık uç soru proje ödev ve performans görev ile,7,0.94314617,5. TEMA: EŞLİK VE BENZERLİK,e)
öğrenci rehber et önem i Öğrenci sun varsayım,5,0.63001275,5. TEMA: EŞLİK VE BENZERLİK,i)
ol ifade et el et önerme de,0,0.7715025,5. TEMA: EŞLİK VE BENZERLİK,i)
fark et sağ,6,0.65413296,5. TEMA: EŞLİK VE BENZERLİK,i)
süreç yönet Öğrenci eş ve benzerlik,5,0.47538787,5. TEMA: EŞLİK VE BENZERLİK,i)
belirle hedefle öğren ortam oluştur bu süreç,7,0.49990743,5. TEMA: EŞLİK VE BENZERLİK,i)
çiz benze üçgen oluştur öğrenci bu çıkarım hareket ifade,5,0.4707704,5. TEMA: EŞLİK VE BENZERLİK,e)
yorumla bekle Öğrenci Tales Öklid ile Pisagor teorem,6,0.9233875,5. TEMA: EŞLİK VE BENZERLİK,i)
kul,6,0.16502762,5. TEMA: EŞLİK VE BENZERLİK,r)
iki kategorik değişken veri dayalı istatistiksel araştır gerek gerçek ya,5,0.74593997,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,a)
Bağlam içeri iki kategorik değişken ara ilişkili odaklan araştır,5,0.91896003,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,b)
iki kategorik değişken veri topla el et için plan yap,7,0.89333445,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,c)
araştır soru bağlam topla el et iki kategorik değişken veri,7,0.92101413,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,d)
araç uygun ol seçe,1,0.8316946,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
