text,dominant_topic,topic_percent,section,item,ai_relevance_score
Kartezyen çarpım eleman Sayıs buldur,1,0.9360909,9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,b),0
sadece son sayı eleman ol küme kartezyen çarpım grafik çizim yap,1,0.9582539,9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,c),2
sayı,1,0.77417624,9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,l),0
doğal sayı tam sayı rasyonel sayı irrasyonel sayı ve gerçek sayı küme sembol tanıt bu,1,0.96651685,9.3.1.1. Sayı kümelerini birbiriyle ilişkilendirir.,a),1
gibi sayı sayı doğru yer belirle,1,0.9212519,9.3.1.1. Sayı kümelerini birbiriyle ilişkilendirir.,b),0
gerçek sayı küme topla ve çarp işlem özellik Üzer dur,1,0.95280945,9.3.1.1. Sayı kümelerini birbiriyle ilişkilendirir.,c),2
gerçek hayat(I) problem yer ver,1,0.9010753,9.3.2.2. Tam sayılarda EBOB ve EKOK ile ilgili uygulamalar yapar.,a),1
elektronik tablo bulun EBOB ve EKOK fonksiyon yararlan,0,0.8878209,9.3.2.2. Tam sayılarda EBOB ve EKOK ile ilgili uygulamalar yapar.,b),2
açık kapalı ve yarı açık aralık kavram ile bu gösterim Üzer dur,1,0.95300496,9.3.3.1. Gerçek sayılar kümesinde aralık kavramını açıklar.,a),0
aralık kartezyen çarpım yer ver,1,0.9007156,9.3.3.1. Gerçek sayılar kümesinde aralık kavramını açıklar.,b),0
bir derece bir bilinmeyen li denklem ve eşitsizlik çözüm hatırlat,0,0.93997395,9.3.3.2. Birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm kümelerini bulur.,a),1
Harezmî nin denklem konu çalış yer ver,2,0.6163741,9.3.3.2. Birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm kümelerini bulur.,b),0
bir gerçek sayı mutlak değer hatırlat mutlak değer özellik ver,0,0.6358123,9.3.3.3. Mutlak değer içeren birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm,a),0
İki çok mutlak değer içer denklem ve eşitsizlik gir,0,0.9292263,9.3.3.3. Mutlak değer içeren birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm,b),0
bir derece iki bilinmeyen li denklem sistem çözüm küme bulun yer koy yok,0,0.7925352,9.3.3.4. Birinci dereceden iki bilinmeyenli denklem ve eşitsizlik sistemlerinin çözüm kümelerini bulur.,a),2
bir derece iki bilinmeyen li denklem ve eşitsiz sistem çözüm analitik düzlem göster,0,0.9587364,9.3.3.4. Birinci dereceden iki bilinmeyenli denklem ve eşitsizlik sistemlerinin çözüm kümelerini bulur.,b),1
Üs ifade kavram hatırlat,2,0.8928472,9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,a),0
bir gerçek sayı tam sayı kuvvet ile ilgi uygulama yap,1,0.9364112,9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,b),1
Üs ifade özellik Üzer dur,2,0.8941106,9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,c),0
Kök ifade özellik Üzer dur,2,0.89411926,9.3.4.2. Köklü ifadeleri içeren denklemleri çözer.,a),0
ve,1,0.37043518,9.3.4.2. Köklü ifadeleri içeren denklemleri çözer.,b),0
en çok iki terim köklü ifade eşlenik yer ver,2,0.9174332,9.3.4.2. Köklü ifadeleri içeren denklemleri çözer.,c),0
oran orantı doğru orantı ters orantı kavram ile oran ve orantı ait özellik hatırlat,0,0.96556115,9.3.5.1. Oran ve orantı kavramlarını kullanarak problemler çözer.,a),0
altın oran tanıt gerçek hayat(I) örnek ver ancak hesapla yöntem yer ver,1,0.9585243,9.3.5.1. Oran ve orantı kavramlarını kullanarak problemler çözer.,b),0
gerçek hayat(I) durum temsil et sözel ifade ilişki cebirsel grafiksel ve sayısal temsil,2,0.61646897,9.3.5.2. Denklemler  ve eşitsizlikler ile ilgili problemler çözer.,a),3
fark problem çöz strateji uygula gerek oran orantı kavram kullan,1,0.79574597,9.3.5.2. Denklemler  ve eşitsizlikler ile ilgili problemler çözer.,b),1
rutin ol problem tür de yer ver fark problem çöz strateji uygula,1,0.9365368,9.3.5.2. Denklemler  ve eşitsizlikler ile ilgili problemler çözer.,c),2
kültür ve medeniyeti geometri tarihsel gelişim sürec katkı sağla bilim insan ve bilim,2,0.9325305,9.4.1.1. Üçgende açı özellikleri ile ilgili işlemler yapar.,a),0
 çeşit ve paralel iki doğru bir kesen(I) yap açı hatırlat,2,0.9172013,9.4.1.1. Üçgende açı özellikleri ile ilgili işlemler yapar.,b),0
Üçgen sadece iç ve dış açı özellik kullan soru yer ver İkizkenar ve eşkenar üçgen,2,0.9493747,9.4.1.1. Üçgende açı özellikleri ile ilgili işlemler yapar.,c),0
bir üçgen en uzun kenar karşı açı ölçüs en büyük ol ve bu ter de doğru,0,0.9270144,9.4.1.2. Üçgenin kenar uzunlukları ile bu kenarların karşılarındaki açıların ölçülerini ilişkilendirir.,a),0
dinamik matematik yazılım kullanıl oluş üçgen kenar ve açı ara ilişki,2,0.676147,9.4.1.2. Üçgenin kenar uzunlukları ile bu kenarların karşılarındaki açıların ölçülerini ilişkilendirir.,b),2
iki kenar uzunluk ver bir üçgen üç kenar uzunluk hangi aralık değer al,1,0.95860004,9.4.1.3. Uzunlukları verilen üç doğru parçasının hangi durumlarda üçgen oluşturduğunu değerlendirir.,a),0
dinamik matematik yazılım yararlan hangi durum üçgen oluş test et,2,0.9601076,9.4.1.3. Uzunlukları verilen üç doğru parçasının hangi durumlarda üçgen oluşturduğunu değerlendirir.,b),1
iki üçgen eş hatırlat,0,0.8412129,9.4.2.1. İki üçgenin eş olması için gerekli olan asgari koşulları değerlendirir.,a),0
kenar açı kenar K. A. K. açı kenar  A. K. A. kenar kenar kenar K. K. K. eşlik kural ölçüm,1,0.96308607,9.4.2.1. İki üçgenin eş olması için gerekli olan asgari koşulları değerlendirir.,b),2
eş üçgen karşılık li yardımcı eleman da eş ol göster,2,0.93080974,9.4.2.1. İki üçgenin eş olması için gerekli olan asgari koşulları değerlendirir.,c),0
kenar açı kenar K. A. K. kenar kenar kenar K. K. K. ve açı açı A. A. benzer kural ölçüm,1,0.9587297,9.4.2.2. İki üçgenin benzer olması için gerekli olan asgari koşulları değerlendirir.,a),2
eşlik ile benzer ara ilişki incele,0,0.91281074,9.4.2.2. İki üçgenin benzer olması için gerekli olan asgari koşulları değerlendirir.,b),1
benze üçgen karşılık yardımcı eleman da aynı benzer oran sahip ol göster,0,0.9618488,9.4.2.2. İki üçgenin benzer olması için gerekli olan asgari koşulları değerlendirir.,c),0
Açıortay Üzer alın bir nokta açı kol indir dik uzunluk eşit ol,2,0.94970787,9.4.3.1. Üçgenin iç ve dış açıortaylarının özelliklerini elde eder.,a),0
iç ve dış açıortay uzunluk formül hesaplat,1,0.92220145,9.4.3.1. Üçgenin iç ve dış açıortaylarının özelliklerini elde eder.,b),0
Açıortay özellik gösterim pergel cetvel yararlan,2,0.7489672,9.4.3.1. Üçgenin iç ve dış açıortaylarının özelliklerini elde eder.,c),0
Kenarortay kesiş nokta ile bu nokta kenarortay Üzer ayır parça ara ilişki,1,0.9624719,9.4.3.2. Üçgenin kenarortaylarının özelliklerini elde eder.,a),1
Kenarortay kesiş nokta üçgen ağırlık merkez ol ve üçgen ağırlık merkez ilgi,1,0.9665269,9.4.3.2. Üçgenin kenarortaylarının özelliklerini elde eder.,b),0
dik üçgen hipotenüs ait kenarortay uzunluk hipotenüs uzunluk yarı ol göster,1,0.94548774,9.4.3.2. Üçgenin kenarortaylarının özelliklerini elde eder.,c),0
Pergel cetvel kullan veya bilgi ve iletişim teknoloji yardım üçgen Üzer değişik,2,0.9603991,9.4.3.2. Üçgenin kenarortaylarının özelliklerini elde eder.,d),2
bir doğru parça orta dik Üzer alın her nokta doğru parça uç nokta eşit,2,0.96411663,9.4.3.3. Üçgenin kenar orta dikmelerinin bir noktada kesiştiğini gösterir.,a),0
Pergel cetvel veya bilgi ve iletişim teknoloji yararlan,2,0.6886008,9.4.3.3. Üçgenin kenar orta dikmelerinin bir noktada kesiştiğini gösterir.,b),2
Pergel cetvel kullan veya bilgi ve iletişim teknoloji yardım bir üçgen yüksek çiz,2,0.96025044,9.4.3.4. Üçgenin çeşidine göre yüksekliklerinin kesiştiği noktanın konumunu belirler.,a),2
İkizkenar üçgen taban alın bir nokta kenar çiz dik uzunluk toplam ile,0,0.49719486,9.4.3.4. Üçgenin çeşidine göre yüksekliklerinin kesiştiği noktanın konumunu belirler.,b),0
eşkenar üçgen içeri alın bir nokta kenar indir dik uzunluk toplam ile,0,0.95719844,9.4.3.4. Üçgenin çeşidine göre yüksekliklerinin kesiştiği noktanın konumunu belirler.,c),0
teorem el edilir model çeşitli yer ver,0,0.84680045,9.4.4.1. Dik üçgende Pisagor teoremini elde ederek problemler çözer.,a),1
gerçek hayat(I) problem yer ver,1,0.9010753,9.4.4.1. Dik üçgende Pisagor teoremini elde ederek problemler çözer.,b),1
Pythagoras  çalış yer ver,2,0.75978816,9.4.4.1. Dik üçgende Pisagor teoremini elde ederek problemler çözer.,c),0
gerçek hayat(I) problem yer ver,1,0.9010753,9.4.4.2. Öklid teoremini elde ederek problemler çözer.,a),1
Euclid in çalış yer ver,2,0.75978816,9.4.4.2. Öklid teoremini elde ederek problemler çözer.,b),0
bir açı sinüs kosinüs tanjant ve kotanjant değer dik üçgen Üzer tanımla,1,0.9457396,9.4.4.3. Dik üçgende dar açıların trigonometrik oranlarını hesaplar.,a),0
dik üçgen 30 45 ve 60 nin trigonometrik değer özel üçgen yardım hesapla,1,0.95302343,9.4.4.3. Dik üçgende dar açıların trigonometrik oranlarını hesaplar.,b),0
gerçek hayat(I) problem yer ver,1,0.90107536,9.4.4.3. Dik üçgende dar açıların trigonometrik oranlarını hesaplar.,c),1
sadece 0 ve 180 ara açı trigonometrik oran birim çember yardım hesaplat,1,0.952847,9.4.4.4. Birim çemberi tanımlar ve trigonometrik oranları birim çemberin üzerindeki noktanın,a),0
Ebu l Vefa ve Gıyaseddin Cemşid  trigonometrik oran ilgili çalış bahsed,1,0.57587016,9.4.4.4. Birim çemberi tanımlar ve trigonometrik oranları birim çemberin üzerindeki noktanın,b),0
 alan bir kenar ile bu kenar ait yüksek kullan hesaplat,1,0.9457521,9.4.5.1. Üçgenin alanı ile ilgili problemler çözer.,a),0
iki kenar uzunluk ve bu kenar ara açı ölçü ver üçgen alan hesap,1,0.9459123,9.4.5.1. Üçgenin alanı ile ilgili problemler çözer.,b),0
aynı yüksek sahip üçgen alan taban aynı taban sahip üçgen alan,1,0.96943325,9.4.5.1. Üçgenin alanı ile ilgili problemler çözer.,c),0
bilgi ve iletişim teknoloji yardım alan taban ve yükseklik değiş bir üçgen alan,2,0.5280097,9.4.5.1. Üçgenin alanı ile ilgili problemler çözer.,d),2
veri kavram kesik ve sürekli veri çeşit ver,2,0.93188435,9.5.1.1. Verileri merkezî eğilim ve yayılım ölçülerini hesaplayarak yorumlar.,a),2
Aritmetik ortalama ortanca tepe değer en büyük değer en küçük değer ve açık kavram ver,0,0.96587336,9.5.1.1. Verileri merkezî eğilim ve yayılım ölçülerini hesaplayarak yorumlar.,b),0
alt çeyrek üst çeyrek ve çeyrek açık yer ver,0,0.7451981,9.5.1.1. Verileri merkezî eğilim ve yayılım ölçülerini hesaplayarak yorumlar.,c),0
gerçek hayat(I) durum aritmetik ortalama ortanca tepe değer kavram birlikte yorumla,0,0.7338217,9.5.1.1. Verileri merkezî eğilim ve yayılım ölçülerini hesaplayarak yorumlar.,d),0
 oluşturul veri grup açık seç grup sayıs bölün ve aşağı eşitsiz,0,0.95351905,9.5.2.1. Bir veri grubuna ilişkin histogram oluşturur.,a),1
 grup histogram çiz,0,0.7476996,9.5.2.1. Bir veri grubuna ilişkin histogram oluşturur.,b),0
İki fazla veri grup karşılaştır durum da yer ver,2,0.91727835,9.5.2.2. Gerçek hayat durumunu yansıtan veri gruplarını uygun grafik türleriyle temsil ederek yorumlar.,a),1
Serp ve kutu grafik yer ver,2,0.75875896,9.5.2.2. Gerçek hayat durumunu yansıtan veri gruplarını uygun grafik türleriyle temsil ederek yorumlar.,b),1
 tür bilgi ve iletişim teknoloji kullanıl çiz,2,0.91717845,9.5.2.2. Gerçek hayat durumunu yansıtan veri gruplarını uygun grafik türleriyle temsil ederek yorumlar.,c),2
say konu tarihsel gelişim sürec söz et ve bu süreç rol al Sâbit İBN  ,2,0.91783756,10.1.1.1. Olayların gerçekleşme sayısını toplama ve çarpma yöntemlerini kullanarak hesaplar.,a),0
 kavram ver say temel ilke ile ilişkilendir,1,0.90052587,10.1.1.1. Olayların gerçekleşme sayısını toplama ve çarpma yöntemlerini kullanarak hesaplar.,b),1
en az iki tane özdeş ol nesne tüm fark diziliş Sayıs örnek problem bağlam el,1,0.8025998,10.1.1.3.  Sınırlı  sayıda  tekrarlayan  nesnelerin  dizilişlerini  (permütasyonlarını)  açıklayarak  problemler,a),1
gerçek hayat(I) problem yer ver,1,0.9010753,10.1.1.3.  Sınırlı  sayıda  tekrarlayan  nesnelerin  dizilişlerini  (permütasyonlarını)  açıklayarak  problemler,b),1
 kavram alt küme Sayıs ile ilişkilendir,1,0.92244905,10.1.1.4. n elemanlı bir kümenin r tane elemanının kaç farklı şekilde seçilebileceğini hesaplar.,a),2
 kavram aşağı temel özellik incele,0,0.689469,10.1.1.4. n elemanlı bir kümenin r tane elemanının kaç farklı şekilde seçilebileceğini hesaplar.,b),0
+ 𝐶𝐶(𝑛𝑛 1 + + 𝐶𝐶(𝑛𝑛 𝑛𝑛 = 2,1,0.37043518,10.1.1.5. Pascal üçgenini açıklar.,0),0
Binom açılım Pascal üçgen ile ilişkilendir,1,0.922309,10.1.1.6. Binom açılımını yapar.,a),1
sadece iki terim ifade açılım el alın,2,0.9318308,10.1.1.6. Binom açılımını yapar.,b),0
Binom formül ile ilgi örnek yap ancak,1,0.9365072,10.1.1.6. Binom açılımını yapar.,c),0
Örnek uzay deney çık kavram eş olası durum yol çıkıl eş olası ol durum için,2,0.9419048,"10.1.2.1. Örnek uzay, deney, çıktı, bir olayın tümleyeni, kesin olay, imkânsız olay, ayrık olay ve ayrık",a),0
Ayrık olay ve ayrık ol olay Üzer dur,2,0.93240374,"10.1.2.1. Örnek uzay, deney, çıktı, bir olayın tümleyeni, kesin olay, imkânsız olay, ayrık olay ve ayrık",b),0
el Kindî ve Laplace çalış yer ver,2,0.7597882,"10.1.2.1. Örnek uzay, deney, çıktı, bir olayın tümleyeni, kesin olay, imkânsız olay, ayrık olay ve ayrık",c),0
eş olası ol ve ol olay olasılık hesapla,2,0.91727185,10.1.2.2. Olasılık kavramı ile ilgili uygulamalar yapar.,a),1
Tümle ayrık olay ve ayrık ol olay ile ilgi olasılık hesapla,2,0.955543,10.1.2.2. Olasılık kavramı ile ilgili uygulamalar yapar.,b),1
gerçek hayat(I) problem yer ver,1,0.9010753,10.1.2.2. Olasılık kavramı ile ilgili uygulamalar yapar.,c),1
doğru test,0,0.8449283,10.1.2.2. Olasılık kavramı ile ilgili uygulamalar yapar.,y),0
fonksiyon kavram açıkla,0,0.844086,10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,a),1
sadece gerçek sayı Üzer tanımla fonksiyon el al,1,0.93628323,10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,b),1
İç fonksiyon ört fonksiyon bir bir fonksiyon eşit fonksiyon birim özdeş fonksiyon sabit,1,0.9220426,10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,c),5
f ve g fonksiyon kullanıl,2,0.7597174,10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,d),1
gerçek hayat(I) problem ve tablo grafik kullanım yer ver,1,0.9356675,10.2.1.1. Fonksiyonlarla ilgili problemler çözer.,e),3
f(x = ax + b şekil fonksiyon grafik ile ilgi uygulama yap,2,0.91572714,10.2.1.2. Fonksiyonların grafiklerini çizer.,a),3
Parça tanım şekil ver fonksiyon grafik çiz,2,0.9177027,10.2.1.2. Fonksiyonların grafiklerini çizer.,b),2
f(x = ax + b tip fonksiyon grafik bilgi ve iletişim teknoloji yardım çiz a ve b,2,0.9320024,10.2.1.2. Fonksiyonların grafiklerini çizer.,c),4
Grafik ver fonksiyon tanım ve görüntü küme göster,2,0.67076397,10.2.1.3. Fonksiyonların grafiklerini yorumlar.,a),2
bir fonksiyon grafiğ fonksiyon x eksen Üzer tanım ol her bir nokta y eksen,2,0.94231707,10.2.1.3. Fonksiyonların grafiklerini yorumlar.,b),2
işaret et,0,0.7484675,10.2.1.3. Fonksiyonların grafiklerini yorumlar.,i),0
bir f fonksiyon grafiğ y = f(x denklem grafik ol ve grafik var x eksen kes,2,0.57568145,10.2.1.3. Fonksiyonların grafiklerini yorumlar.,c),3
= 0 denklem gerçek sayı çözüm küme ol vurgula,1,0.9359757,10.2.1.3. Fonksiyonların grafiklerini yorumlar.,x),2
bir fonksiyon bir bir ve örten grafik Üzer yatay doğru test incele ve cebirsel ol,2,0.7171577,10.2.2.1. Bire bir ve örten fonksiyonlar ile ilgili uygulamalar yapar.,a),2
bilgi ve iletişim teknoloji yardım bir fonksiyon bir bir ve ört ol ol belirle,2,0.7401171,10.2.2.1. Bire bir ve örten fonksiyonlar ile ilgili uygulamalar yapar.,b),3
 işlem fonksiyon cebirsel ve grafik gösterim ile ilişkilendir el alın,2,0.5687917,10.2.2.2. Fonksiyonlarda bileşke işlemiyle ilgili işlemler yapar.,a),4
Fonksiyon bileşke işlem birleş özellik ol belirt değiş özellik ol,2,0.942124,10.2.2.2. Fonksiyonlarda bileşke işlemiyle ilgili işlemler yapar.,b),1
Parça tanım fonksiyon bileşke gir,2,0.89463097,10.2.2.2. Fonksiyonlarda bileşke işlemiyle ilgili işlemler yapar.,c),1
bir fonksiyon ters de fonksiyon ol için gerek şart belirt,1,0.9222157,10.2.2.3. Verilen bir fonksiyonun tersini bulur.,a),2
sadece bir bir ve ört doğrusal fonksiyon ters grafik çiz fonksiyon grafik ile ter,2,0.529926,10.2.2.3. Verilen bir fonksiyonun tersini bulur.,b),4
Parça tanım fonksiyon ters ver,2,0.59522235,10.2.2.3. Verilen bir fonksiyonun tersini bulur.,c),1
Polinom derece katsayı ve sabit terim belirt,0,0.9398389,10.3.1.1. Bir değişkenli polinom kavramını açıklar.,a),0
Sabit polinom sıfır polinom ve iki polinom eşitlik örnek açıkla,0,0.9467265,10.3.1.1. Bir değişkenli polinom kavramını açıklar.,b),0
bir P(x polinom x a ile bölüm kal P(a ,0,0.7482574,"10.3.1.2. Polinomlarla toplama, çıkarma, çarpma ve bölme işlemlerini yapar.",a),0
Polinom sıfır kavram böl işlem ilişkilendir,0,0.9273785,"10.3.1.2. Polinomlarla toplama, çıkarma, çarpma ve bölme işlemlerini yapar.",b),2
ortak çarpan parantez al ve değişken değiştir yöntem kullan çarpan ayır,2,0.9497267,10.3.2.1. Bir polinomu çarpanlarına ayırır.,a),0
tam kare iki kare fark iki terim toplam ve fark küp iki terim küp toplam ve fark,0,0.9587339,10.3.2.1. Bir polinomu çarpanlarına ayırır.,b),0
biçiim ifade çarpan ayrıl,2,0.91736764,10.3.2.1. Bir polinomu çarpanlarına ayırır.,c),0
Rasyonel ifade kavram tanıt,2,0.91605794,10.3.2.2. Rasyonel ifadelerin sadeleştirilmesi ile ilgili işlemler yapar.,a),0
Çarpan polinom ol ifade çarpan ayır uygulama yer ver,2,0.94207096,10.3.2.2. Rasyonel ifadelerin sadeleştirilmesi ile ilgili işlemler yapar.,b),1
ax2 + bx + c biçiim cebirsel ifade tam kare ve iki kare fark ait özdeşlik kullan,2,0.5049677,10.4.1.2. İkinci dereceden bir bilinmeyenli denklemleri çözer.,a),0
Denklem çözüm fark yöntem çarpan ayır tam kare tamamla değişken,1,0.62645483,10.4.1.2. İkinci dereceden bir bilinmeyenli denklemleri çözer.,b),1
yararlan,0,0.74841815,10.4.1.2. İkinci dereceden bir bilinmeyenli denklemleri çözer.,t),0
gerçek hayat(I) problem yer ver,1,0.9010753,10.4.1.2. İkinci dereceden bir bilinmeyenli denklemleri çözer.,c),1
= 1 ol üzere bir karmaşık sayı,1,0.8603225,"10.4.1.3. Bir karmaşık sayının a+ib (a,b",b),0
Kök birbiri eşlenik ol belirt,0,0.8890686,"10.4.1.3. Bir karmaşık sayının a+ib (a,b",c),0
sadece kök toplam ve çarpım ile denklem katsayı ara ilişki Üzer dur,0,0.51379275,10.4.1.4.  İkinci  dereceden  bir  bilinmeyenli  denklemin  kökleri  ile  katsayıları  arasındaki  ilişkileri,a),1
 ver iki derece denklem el et ile ilgi uygulama yer ver,1,0.92152077,10.4.1.4.  İkinci  dereceden  bir  bilinmeyenli  denklemin  kökleri  ile  katsayıları  arasındaki  ilişkileri,b),1
İçbükey çokgen gir,0,0.74623054,10.5.1.1. Çokgen kavramını açıklayarak işlemler yapar.,a),0
Düzgün çokgen hatırlat iç ve dış açı ölçü bulun,0,0.91367304,10.5.1.1. Çokgen kavramını açıklayarak işlemler yapar.,b),0
Çokgen köşegen ile ilgi özellik ve al problem yer ver,1,0.935792,10.5.1.1. Çokgen kavramını açıklayarak işlemler yapar.,c),1
Dışbükey ve içbükey dörtgen kavram açıkla bu sonra dörtgen de dış bükey,0,0.9133631,10.5.2.1. Dörtgenin temel elemanlarını ve özelliklerini açıklayarak problemler çözer.,a),0
dörtgen iç ve dış açı ölçü toplam bulun,0,0.9139117,10.5.2.1. Dörtgenin temel elemanlarını ve özelliklerini açıklayarak problemler çözer.,b),0
dörtgen çevre Üzer dur,2,0.60473305,10.5.2.1. Dörtgenin temel elemanlarını ve özelliklerini açıklayarak problemler çözer.,c),0
Yamuk paralelkenar eşkenar dörtgen dikdörtgen kare ve deltoid ara hiyerarşik ilişki yer,0,0.9290393,"10.5.3.1. Özel dörtgenlerin açı, kenar, köşegen ve alan özelliklerini açıklayarak problemler çözer.",a),1
Hiyerarşik ilişki göre her bir özel dörtgen kendi içeri açı kenar köşegen ve al özellik,0,0.9581616,"10.5.3.1. Özel dörtgenlerin açı, kenar, köşegen ve alan özelliklerini açıklayarak problemler çözer.",b),1
Origami tangram kullan uygulama yap,2,0.8524443,"10.5.3.1. Özel dörtgenlerin açı, kenar, köşegen ve alan özelliklerini açıklayarak problemler çözer.",c),1
 ve iletişim teknoloji yararlan,0,0.8893894,"10.5.3.1. Özel dörtgenlerin açı, kenar, köşegen ve alan özelliklerini açıklayarak problemler çözer.",d),1
üçgen dörtgen ve altıgen dik prizma piramit ile sınırlandır,0,0.88775444,"10.6.1.1. Dik prizmalar ve dik piramitlerin uzunluk, alan ve hacim bağıntılarını oluşturur.",a),0
gerçek hayat(I) problem yer ver,1,0.90107536,"10.6.1.1. Dik prizmalar ve dik piramitlerin uzunluk, alan ve hacim bağıntılarını oluşturur.",b),1
 ve iletişim teknoloji yararlan,0,0.88939047,"10.6.1.1. Dik prizmalar ve dik piramitlerin uzunluk, alan ve hacim bağıntılarını oluşturur.",c),1
Derece alt birim ol dakika ve saniye bahsed,1,0.89982873,11.1.1.2. Açı ölçü birimlerini açıklayarak birbiri ile ilişkilendirir.,a),0
derece ile radyan ilişkilendir gra gir,1,0.8614312,11.1.1.2. Açı ölçü birimlerini açıklayarak birbiri ile ilişkilendirir.,b),1
açı esas ölçü bulun,0,0.8465192,11.1.1.2. Açı ölçü birimlerini açıklayarak birbiri ile ilişkilendirir.,c),0
Trigonometrik fonksiyon ara temel özdeşlik oluş benze üçgen yardım,1,0.95271313,11.1.2.1. Trigonometrik fonksiyonları birim çember yardımıyla açıklar.,a),1
Trigonometrik fonksiyon bölge göre işaret incele,0,0.9282155,11.1.2.1. Trigonometrik fonksiyonları birim çember yardımıyla açıklar.,b),1
Kosinüs teorem Pisagor teorem yararlan el et,0,0.91367817,11.1.2.2. Kosinüs teoremiyle ilgili problemler çözer.,a),0
gerçek hayat(I) problem yer ver,1,0.9010753,11.1.2.2. Kosinüs teoremiyle ilgili problemler çözer.,b),1
Sinüs teorem iki kenar uzun ve bu kenar ara açı ölçü ver üçgen alan,0,0.52812344,11.1.2.3. Sinüs teoremiyle ilgili problemler çözer.,a),0
Sinüs teorem çevrel çember ilişkilendir,0,0.9289332,11.1.2.3. Sinüs teoremiyle ilgili problemler çözer.,b),1
gerçek hayat(I) problem yer ver,1,0.9010753,11.1.2.3. Sinüs teoremiyle ilgili problemler çözer.,c),1
y = sinx ve y = cosx fonksiyon dış fonksiyon grafik çizim sadece bilgi ve iletişim,2,0.9319392,11.1.2.4. Trigonometrik fonksiyon grafiklerini çizer.,a),4
Periyodik fonksiyon tanım ver trigonometrik fonksiyon periyodik ol göster,2,0.58529025,11.1.2.4. Trigonometrik fonksiyon grafiklerini çizer.,b),2
tür fonksiyon grafik ve katsayı grafik Üzer etki,2,0.91738886,11.1.2.4. Trigonometrik fonksiyon grafiklerini çizer.,c),3
sekant ve kosekant fonksiyon grafik yer ver,2,0.75874996,11.1.2.4. Trigonometrik fonksiyon grafiklerini çizer.,d),2
bir doğru parça orta nokta koordinat buldur,2,0.94235754,11.2.1.2. Bir doğru parçasını belli bir oranda (içten veya dıştan) bölen noktanın koordinatlarını hesaplar.,a),0
